start5_mean,start10_mean,start15_mean,start20_mean,start25_mean,start30_mean,start35_mean,start40_mean,start5_sd,start10_sd,start15_sd,start20_sd,start25_sd,start30_sd,start35_sd,start40_sd
0.156599621,0.13736925,0.12106853,0.104198358,0.087327714,0.072139111,0.050471791,0.038513342,0.020705802,0.024774233,0.020371033,0.022330464,0.025294894,0.027062859,0.029283437,0.03339517
0.150060823,0.130996325,0.118854677,0.101052795,0.084408672,0.070607738,0.049514111,0.04079871,0.024762016,0.021598369,0.021762667,0.024078021,0.024041573,0.020603644,0.027726863,0.029212182
0.1480826,0.132181051,0.115444501,0.098112178,0.082164344,0.067701318,0.048860541,0.034970744,0.020977598,0.022250453,0.025015883,0.022782438,0.027459945,0.025511484,0.030765883,0.034803432
0.142264195,0.125211421,0.113036627,0.09903219,0.078916031,0.064351806,0.043673426,0.030453961,0.026162694,0.023724919,0.024595326,0.020158007,0.024591067,0.025950322,0.036407034,0.035404582
0.143803616,0.125129877,0.10697339,0.094892988,0.074628321,0.055810101,0.042495993,0.031983847,0.02332538,0.024740957,0.022641812,0.0241479,0.02411491,0.022564916,0.029728286,0.031648725
0.134262564,0.117551691,0.102766253,0.090095392,0.074686041,0.052536374,0.037488904,0.030476676,0.023952334,0.02649284,0.022622782,0.02243541,0.028635756,0.030842847,0.031995312,0.030769762
0.133934528,0.118456694,0.105175772,0.087091089,0.066991897,0.052890183,0.034807594,0.023508471,0.024405607,0.021213583,0.021754186,0.02380148,0.023529515,0.029044163,0.030357356,0.035088767
0.129788779,0.114438476,0.101247227,0.082186435,0.065403063,0.051961963,0.035265769,0.021980765,0.023487524,0.022915405,0.022372416,0.022153981,0.024929872,0.025034377,0.031522616,0.029642756
0.125292299,0.112931953,0.097726855,0.078963525,0.067991094,0.051782396,0.032053227,0.019372327,0.024332879,0.023789058,0.02198154,0.025257667,0.023423417,0.025708648,0.028739388,0.036193432
0.126571711,0.105041591,0.095810037,0.07727428,0.059158748,0.044503383,0.032250082,0.023333186,0.022502579,0.025469258,0.02449001,0.024074882,0.028408568,0.030854302,0.030672349,0.028424301
0.121455054,0.106686621,0.088961779,0.076828293,0.058680027,0.043607105,0.03058161,0.021079102,0.025233577,0.021690608,0.020286517,0.024306279,0.027030949,0.031490107,0.031152131,0.027746639
0.12012498,0.104620567,0.087806917,0.071821391,0.05825694,0.038768177,0.027361251,0.012902337,0.022280207,0.02422134,0.022746965,0.021945475,0.025635729,0.02868997,0.030322802,0.033154469
0.111642126,0.096875482,0.083103273,0.065257632,0.052489653,0.037412996,0.023117429,0.016828514,0.022910466,0.023396588,0.023177942,0.022575012,0.026990774,0.03115713,0.032981441,0.034225545
0.108216143,0.096621316,0.08135046,0.065592752,0.046233362,0.031908509,0.023684116,0.019992797,0.022311814,0.020990636,0.023232224,0.020895596,0.028748492,0.030518792,0.034018474,0.032516706
0.109140839,0.094997668,0.083062327,0.062710014,0.045289963,0.030390866,0.020562424,0.019264652,0.024104012,0.022886365,0.0232304,0.026827433,0.025725811,0.034259245,0.032944531,0.02886552
0.105611305,0.088787676,0.078072456,0.06039757,0.044488041,0.028318156,0.018594356,0.009393959,0.021638892,0.021775755,0.023296924,0.025206769,0.027179236,0.032471214,0.037437945,0.037689556
0.099484819,0.08660223,0.076665017,0.055410764,0.038324312,0.02456976,0.020646313,0.013837814,0.021856091,0.023399585,0.024378735,0.023662083,0.029213359,0.032964018,0.029691284,0.031335015
0.099867611,0.084907479,0.073567644,0.054184241,0.039547269,0.033880447,0.022095758,0.014186563,0.023796537,0.022004763,0.024351977,0.031204764,0.02879715,0.031134585,0.030415549,0.031568112
0.09314503,0.075912353,0.064994264,0.052280483,0.037148211,0.019284865,0.01629479,0.009139347,0.021503565,0.018724286,0.025359396,0.027653014,0.029872961,0.037073198,0.034814206,0.029110626
0.094593533,0.082252715,0.066034216,0.050806954,0.036860764,0.020580988,0.020010271,0.009168795,0.021452097,0.026338207,0.021940789,0.027252604,0.03141069,0.032299796,0.028783039,0.029746266
0.08744331,0.078049442,0.062808996,0.040971918,0.02793687,0.022990962,0.011821948,0.005040097,0.023257123,0.021959772,0.026979305,0.027567453,0.033721651,0.031774954,0.034985021,0.035086842
0.083333966,0.077731265,0.05403897,0.04364808,0.028692043,0.024965839,0.017688965,0.01114976,0.026293626,0.024014833,0.024474287,0.027495137,0.030932004,0.03208754,0.0303151,0.030977172
0.083581018,0.067011332,0.059887509,0.037387202,0.031509678,0.021800483,0.011165177,0.009587395,0.021828054,0.022384613,0.023849822,0.030907946,0.032677306,0.031824913,0.029105652,0.027196483
0.082974985,0.068374013,0.054034124,0.040406116,0.022878248,0.019037303,0.009191229,0.013338936,0.0249446,0.026178523,0.027297366,0.029298804,0.028228227,0.02970601,0.027252757,0.031870197
0.079142751,0.063928922,0.051305835,0.034475038,0.025935501,0.018720222,0.011810133,0.0100772,0.022237572,0.022056327,0.028706515,0.032268747,0.035877212,0.031136972,0.03039489,0.029665709
0.075963941,0.0619875,0.046150297,0.033230869,0.024975038,0.018713001,0.010755642,0.010038834,0.025033548,0.0277692,0.027763477,0.027722681,0.028152389,0.032048141,0.034005705,0.033108828
0.071935128,0.058250551,0.047879359,0.029600268,0.022129725,0.014764101,0.007190562,0.013425792,0.027216338,0.027270074,0.030634664,0.028765611,0.03091817,0.0256454,0.032160773,0.030318511
0.066930422,0.055171656,0.046048996,0.027092987,0.024282682,0.013963626,0.00981674,0.007623244,0.028192352,0.023343579,0.02847575,0.033972524,0.03102156,0.036565274,0.03283038,0.030980577
0.067562595,0.054458113,0.044387192,0.027831744,0.015208471,0.016766631,0.012056857,0.006350902,0.023641479,0.022389079,0.02688508,0.035695149,0.028560862,0.030675931,0.028497114,0.029250165
0.062749608,0.054319656,0.040235405,0.022486841,0.019146924,0.014101221,0.009030875,0.011961238,0.031685752,0.025800029,0.025126877,0.024740987,0.030897991,0.024976794,0.033333785,0.031314135
0.066920927,0.051933504,0.037214276,0.024382658,0.019926384,0.013827433,0.012301543,0.011244923,0.027011599,0.028408236,0.025457064,0.029733933,0.028192815,0.032076356,0.032032067,0.026495905
0.062290452,0.047549213,0.034895604,0.021559752,0.020694121,0.003463623,0.008180661,0.009407266,0.02135909,0.021370429,0.026169172,0.03138448,0.029275516,0.029190695,0.031778168,0.031642258
0.059620917,0.046028961,0.034964094,0.024159581,0.011610154,0.013700016,0.009561913,0.004480804,0.02284597,0.027376014,0.027372604,0.030217774,0.029524433,0.025692821,0.028177494,0.029626548
0.055096051,0.042594813,0.031558667,0.020882197,0.019082623,0.013226417,0.008735835,0.0064159,0.023367819,0.032373347,0.031633604,0.02903592,0.031013794,0.031272661,0.03354216,0.035965663
